Time (EET),Open,High,Low,Close,Volume 
2024.01.01 16:00:00,42520.2,42520.2,42520.2,42520.2,0
2024.01.01 17:00:00,42520.2,42520.2,42520.2,42520.2,0
2024.01.01 18:00:00,42520.2,42520.2,42520.2,42520.2,0
2024.01.01 19:00:00,42520.2,42520.2,42520.2,42520.2,0
2024.01.01 20:00:00,42520.2,42520.2,42520.2,42520.2,0
2024.01.01 21:00:00,42520.2,42520.2,42520.2,42520.2,0
2024.01.01 22:00:00,42520.2,42520.2,42520.2,42520.2,0
2024.01.01 23:00:00,43712.5,43823.7,43524.9,43656.1,0.00219
2024.01.02 00:00:00,43539.8,43573.1,43498.8,43562.6,0.0005
2024.01.02 01:00:00,43562.6,44225.9,43562.6,44222.4,0.02515
2024.01.02 02:00:00,44222.4,45233.9,44194.3,45119.5,0.07181
2024.01.02 03:00:00,45117.3,45421.5,44741.6,44904.9,0.08929
2024.01.02 04:00:00,44904.9,45452.8,44904.9,45451.3,0.06163
2024.01.02 05:00:00,45451.3,45539.6,45193.1,45453.7,0.04815
2024.01.02 06:00:00,45453.7,45518.8,45223.6,45241.4,0.04175
2024.01.02 07:00:00,45241.4,45391.7,45175,45239.9,0.05103
2024.01.02 08:00:00,45238.7,45374.1,45179.8,45229.1,0.04862
2024.01.02 09:00:00,45229.2,45660.4,45216,45515.1,0.0713
2024.01.02 10:00:00,45511.7,45917.7,45383.1,45823.9,0.04336
2024.01.02 11:00:00,45823.9,45943.6,45684.1,45745.1,0.01494
2024.01.02 12:00:00,45741.8,45759.1,45490.1,45635,0.01188
2024.01.02 13:00:00,45635,45756.1,45251.2,45491.3,0.01373
2024.01.02 14:00:00,45491.3,45640.2,45322.1,45363,0.01728
2024.01.02 15:00:00,45356.2,45762.4,45316.3,45685.3,0.01198
2024.01.02 16:00:00,45696.3,45874.9,45077.7,45326.8,0.02664
2024.01.02 17:00:00,45326.8,45385.5,44882.9,45250.7,0.04564
2024.01.02 18:00:00,45241.6,45452.6,44932.9,45408.2,0.06489
2024.01.02 19:00:00,45398.4,45432.4,44998.4,45010.8,0.05245
2024.01.02 20:00:00,45010.8,45310.1,44992.4,45204.9,0.02004
2024.01.02 21:00:00,45204.9,45280.9,44840.4,45089.3,0.02717
2024.01.02 22:00:00,45085.1,45209,44801.4,44834.5,0.01956
2024.01.02 23:00:00,44830.5,45155,44669.8,45155,0.01817
2024.01.03 00:00:00,45155,45336.7,44903.2,45028.8,0.00666
2024.01.03 01:00:00,45028.8,45096.6,44843.2,44991.1,0.00855
2024.01.03 02:00:00,44991.1,45249.6,44905.6,45176.3,0.01157
2024.01.03 03:00:00,45176.3,45372.2,45145,45353.8,0.00817
2024.01.03 04:00:00,45353.8,45444.5,45258.3,45327.1,0.00644
2024.01.03 05:00:00,45327.9,45366.1,45208.9,45314.7,0.00457
2024.01.03 06:00:00,45314.7,45329.5,45166.8,45222.3,0.00449
2024.01.03 07:00:00,45222.3,45337.9,45166.3,45225.4,0.00383
2024.01.03 08:00:00,45225.4,45409.8,45205.3,45363.9,0.00331
2024.01.03 09:00:00,45363.9,45421.2,44989.7,45051.7,0.00796
2024.01.03 10:00:00,45051.7,45240.3,45044.5,45236.2,0.0091
2024.01.03 11:00:00,45236.2,45543.1,45223.6,45381.6,0.0089
2024.01.03 12:00:00,45381.6,45433.2,45086.4,45188.3,0.01169
2024.01.03 13:00:00,45188.3,45224.1,43556.1,43739.8,0.03358
2024.01.03 14:00:00,43741.3,43757.8,40914.3,42843.3,0.10551
2024.01.03 15:00:00,42843.3,42878.9,42360,42598,0.06619
2024.01.03 16:00:00,42598,42598,42090.4,42247.2,0.06857
2024.01.03 17:00:00,42248.5,43062.8,42239.2,43040.3,0.07306
2024.01.03 18:00:00,43039.3,43613.5,42848.3,43050.2,0.05608
2024.01.03 19:00:00,43050.2,43090.4,42674.3,42974.9,0.03788
2024.01.03 20:00:00,42974.7,43097.6,42146.4,42276.5,0.03043
2024.01.03 21:00:00,42276.5,43064.7,42231.8,42650.7,0.0419
2024.01.03 22:00:00,42650.7,42895.8,42584.3,42773.4,0.02081
2024.01.03 23:00:00,42773.4,43017.3,42640.9,42967.1,0.01952
2024.01.04 00:00:00,42970.4,42998.8,42658.9,42800.6,0.00776
2024.01.04 01:00:00,42801,42894.7,42653.8,42892.4,0.01362
2024.01.04 02:00:00,42892.4,43033.3,42820.3,42933.6,0.01241
2024.01.04 03:00:00,42933.6,42987,42703.8,42773.3,0.01038
2024.01.04 04:00:00,42773.3,43259.5,42751.8,43198.6,0.01034
2024.01.04 05:00:00,43200.7,43279.2,43072.5,43173.5,0.00965
2024.01.04 06:00:00,43174.6,43269.5,43030.3,43222.1,0.0094
2024.01.04 07:00:00,43222.1,43332.5,43150.3,43252.5,0.00849
2024.01.04 08:00:00,43252.5,43300.7,43159.8,43220.7,0.00864
2024.01.04 09:00:00,43220.7,43322,42837,42837,0.01998
2024.01.04 10:00:00,42838.4,43037.3,42809.3,42914.5,0.01892
2024.01.04 11:00:00,42914.5,43145.1,42914.5,43086.7,0.01465
2024.01.04 12:00:00,43086.7,43160.9,42758.8,43153.8,0.01467
2024.01.04 13:00:00,43153.8,43310.3,43028.7,43254.8,0.0095
2024.01.04 14:00:00,43254.8,43486,43174.3,43461.5,0.0138
2024.01.04 15:00:00,43461.7,43557.4,43244.7,43431.1,0.01193
2024.01.04 16:00:00,43431.1,43811.3,43332.5,43737.9,0.01854
2024.01.04 17:00:00,43737.9,44384.4,43689.6,44134.3,0.02756
2024.01.04 18:00:00,44134.3,44212.1,43864.4,43995.6,0.01808
2024.01.04 19:00:00,43995.6,44313.8,43922.1,44092.1,0.01388
2024.01.04 20:00:00,44092.1,44234.3,43964.3,44132.5,0.01008
2024.01.04 21:00:00,44132.5,44516.7,44020.8,44047,0.01649
2024.01.04 22:00:00,44046.4,44755.3,43990.7,44208.7,0.01789
2024.01.04 23:00:00,44206.5,44618.8,44205.5,44519.1,0.01816
2024.01.05 00:00:00,44503.5,44824.6,44254.8,44405.6,0.01369
2024.01.05 01:00:00,44410,44444,44160.2,44239.9,0.00856
2024.01.05 02:00:00,44235.9,44332.4,44076.9,44300.3,0.01305
2024.01.05 03:00:00,44300.3,44361.8,42807.7,43475.3,0.02431
2024.01.05 04:00:00,43483.2,44017.1,43379.8,43580.1,0.01737
2024.01.05 05:00:00,43580.1,43819.5,43496.3,43541.7,0.00805
2024.01.05 06:00:00,43541.7,43695.4,43320.8,43658.1,0.00917
2024.01.05 07:00:00,43657.5,43774.2,43591.1,43715.2,0.00609
2024.01.05 08:00:00,43711.2,43975.3,43640.1,43906.9,0.00746
2024.01.05 09:00:00,43906.9,43987.6,43794.7,43850.2,0.00678
2024.01.05 10:00:00,43850.2,44015.1,43842.7,43985.2,0.00541
2024.01.05 11:00:00,43981.2,44343.1,43980.6,44218,0.02557
2024.01.05 12:00:00,44218,44225.5,43583.8,43695.5,0.02033
2024.01.05 13:00:00,43691.5,43979.9,43681.7,43837.3,0.01737
2024.01.05 14:00:00,43837.3,44170.5,43713.7,43953.2,0.02141
2024.01.05 15:00:00,43953.2,44147.4,43820.6,44064.4,0.02684
2024.01.05 16:00:00,44065.1,44137.8,43298.9,43553,0.03567
2024.01.05 17:00:00,43553,43871,43437.3,43561.8,0.03301
2024.01.05 18:00:00,43561.8,43661.3,43293.2,43295.2,0.03267
